hospital_id,ein,name,street_address,city,state,hospital_bed_count,urban_location_f,memb_counc_teach_hosps_f,medicare_provider_number,county,fiscal_yr,form_990_filed_part_grp_ret_f,form_990_num_fac_oper,tot_func_exp,tot_revenue,tot_comm_bnfts,chrty_care,unreim_medcd,comm_hlth_impr_svcs_comm_bnft_oper,bad_debt,mdcre_shrtfl,tot_comm_bnfts_tot_func_exp_pct,chrty_care_tot_func_exp_pct,unreim_medcd_tot_func_exp_pct,comm_hlth_impr_svcs_comm_bnft_oper_tot_func_exp_pct,bad_debt_tot_func_exp_pct,mdcre_shrtfl_tot_func_exp_pct,rat_pat_care_npat_care_comm_bnfts,chna_cond_w_mult_hosp_facilities_f,per_capita_inc,med_hsehld_inc,percent_ppl_pov_pct,percent_ppl_65_yrs_old_without_hlth_insr_pct,unemp_rate_16_yrs_older,st_impl_aca_medcd_exp_cvrg_adlts_w_incs_up_138pct_fpl_f,st_law_req_hosp_rpt_comm_bnfts_f
11,636000090,Stringfellow Memorial Hospital,301 East 18th Street,Anniston,AL,125,Y,N,10038,Calhoun County,2021,Y,2,269974261,264695250,18405693,7560980,401456,745777,35309288,-5695760,6.8175732,2.8006299,0.1487015,0.27624,13.0787608,-2.1097418,0.762447577,Y,40195,50259,14.5,11.9,4.1,N,N
12,640926753,Marion Regional Medical Center,1256 Military St South,Hamilton,AL,57,N,N,10044,Marion County,2021,N,1,21431645,21178998,1010974,1010974,0,0,0,-147373,4.717202,4.717202,0.0,0.0,0.0,-0.687642,2.535991823,Y,36330,44333,16.8,12.3,2.8,N,N
13,630909073,St Vincents Blount,150 Gilbreath Drive,Oneonta,AL,40,Y,N,10050,Blount County,2014,N,1,19407844,20594974,3611354,1162617,2322853,48523,2101066,3662723,18.6077031,5.990449,11.9686297,0.2500174,10.8258598,18.8723847,27.687950811,N,31359,45567,17.5,16.5,6.1,N,N
14,630288864,St Vincents Birmingham,810 St Vincents Drive,Birmingham,AL,409,Y,N,10056,Jefferson County,2021,N,1,504237521,498262680,9816699,7706409,0,442411,3105818,-17424244,1.9468402,1.5283291,0.0,0.0877386,0.6159434,-3.4555627,3.65182463,Y,58424,57802,14.4,10.7,3.6,N,N
15,630385130,Russell Medical Center,3316 Highway 280,Alexander City,AL,81,N,N,10065,Tallapoosa County,2021,N,1,88564547,111392517,3930537,3896657,0,33880,5329732,-626215,4.4380478,4.3997932,0.0,0.0382545,6.0179069,-0.7070718,115.013488783,N,45058,46654,15.2,12.1,4.0,N,N
16,636000090,Northeast Alabama Regional Med Ctr,400 East Tenth Street,Anniston,AL,323,Y,Y,10078,Calhoun County,2021,Y,2,269974261,264695250,18405693,7560980,401456,745777,35309288,-5695760,6.8175732,2.8006299,0.1487015,0.27624,13.0787608,-2.1097418,0.762447577,Y,40195,50259,14.5,11.9,4.1,N,N
17,320453405,Northwest Medical Center,Highway 78 West,Winfield,AL,71,N,N,10086,Marion County,2019,N,1,18855989,17411383,1255545,32965,1211490,3146,6618602,550002,6.6586006,0.174825,6.4249613,0.0166843,35.1007947,2.9168557,112.214156898,,34000,44675,16.9,12.3,3.4,N,N
18,630312913,Walker Baptist Medical Center,3400 Highway 78 East,Jasper,AL,267,Y,N,10089,Walker County,2021,Y,5,6138054,18093135,6276227,2384449,2159588,221520,5301442,-1915820,102.251088,38.8469863,35.183594,3.6089614,86.3700775,-31.2121724,2.62329017,Y,44095,46519,16.4,13.2,3.6,N,N
19,630288861,Providence Hospital,6801 Airport Blvd,Mobile,AL,349,Y,N,10090,Mobile County,2021,N,1,262953601,254822521,8064906,3791821,3406240,402179,3469854,-14968830,3.0670452,1.4420114,1.2953768,0.1529467,1.3195689,-5.6925746,8.303746344,Y,42823,50871,17.6,12.7,4.7,N,N
20,630891904,Thomas Hospital,750 Morphy Ave,Fairhope,AL,162,Y,Y,10100,Baldwin County,2021,Y,2,315062184,342124939,16162883,5823632,9697484,428461,34093910,2106905,5.1300612,1.8484071,3.0779587,0.1359925,10.8213272,0.6687267,24.184970557,Y,50953,71135,8.9,10.9,3.0,N,N
21,630312913,Citizens Baptist Medical Center,604 Stone Avenue,Talladega,AL,122,N,N,10101,Talladega County,2021,Y,5,6138054,18093135,6276227,2384449,2159588,221520,5301442,-1915820,102.251088,38.8469863,35.183594,3.6089614,86.3700775,-31.2121724,2.62329017,Y,38300,44802,16.9,11.2,4.1,N,N
22,630312913,Princeton Baptist Medical Center,701 Princeton Ave Sw,Birmingham,AL,505,Y,N,10103,Jefferson County,2021,Y,5,6138054,18093135,6276227,2384449,2159588,221520,5301442,-1915820,102.251088,38.8469863,35.183594,3.6089614,86.3700775,-31.2121724,2.62329017,Y,58424,57802,14.4,10.7,3.6,N,N
23,630920915,Pickens County Medical Center,241 Robert K Wilson,Carrollton,AL,56,Y,Y,10109,Pickens County,2012,N,1,23973248,22701501,756720,23526,716805,0,4197448,4139222,3.1565184,0.0981343,2.9900203,0.0,17.5088832,17.2660041,193.329738058,Y,30457,31433,23.4,16.5,9.0,N,N
24,630288856,Mobile Infirmary Medical Center,Five Mobile Infirmary Circle,Mobile,AL,669,Y,Y,10113,Mobile County,2020,N,1,518858135,574326393,21830830,15332996,0,752698,61148042,-124300719,4.2074757,2.9551422,0.0,0.1450681,11.7851177,-23.9565905,2.359708789,Y,42823,50871,17.6,12.7,7.9,N,N
25,472367677,Lakeland Community Hospital,42024 Highway 195,Haleyville,AL,49,N,N,10125,Winston County,2021,N,1,23240393,21083518,1222572,1097505,123527,0,6094500,880351,5.2605478,4.7224029,0.5315185,0.0,26.2237389,3.7880211,792.877922077,N,38382,46453,17.4,13.0,2.8,N,N
26,630891904,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,78,Y,N,10129,Baldwin County,2021,Y,2,315062184,342124939,16162883,5823632,9697484,428461,34093910,2106905,5.1300612,1.8484071,3.0779587,0.1359925,10.8213272,0.6687267,24.184970557,Y,50953,71135,8.9,10.9,3.0,N,N
27,630931008,St Vincents St Clair,7063 Veterans Parkway,Pell City,AL,40,Y,N,10130,St. Clair County,2021,Y,2,162846155,173724265,5316859,515149,3878522,715009,977897,7877697,3.2649582,0.3163409,2.3817092,0.4390702,0.6005035,4.8375087,4.759237555,Y,43279,61973,10.5,10.2,2.6,N,N
28,630312913,Brookwood Baptist Medical Center,2010 Brookwood Medical Center Drive,Birmingham,AL,595,Y,N,10139,Jefferson County,2021,Y,5,6138054,18093135,6276227,2384449,2159588,221520,5301442,-1915820,102.251088,38.8469863,35.183594,3.6089614,86.3700775,-31.2121724,2.62329017,Y,58424,57802,14.4,10.7,3.6,N,N
29,636000090,Jacksonville Medical Center,1701 Pelham Road South,Jacksonville,AL,104,Y,N,10146,Calhoun County,2017,Y,3,287897898,270370130,16347011,8951272,0,0,59254595,-8487256,5.6780584,3.1091828,0.0,0.0,20.5818088,-2.948009,1.210328271,Y,36255,45937,17.7,11.9,4.9,N,N
30,203713023,Infirmary West,5600 Girby Rd,Mobile,AL,124,Y,Y,10152,Mobile County,2011,Y,2,59390855,52417462,3077362,3237101,-597766,8881,5004375,-2326775,5.1815418,5.4505041,-1.006495,0.0149534,8.4261709,-3.9177327,6.02550756,,33675,41867,19.7,18.6,10.1,N,N
31,472378825,Russellville Hospital,15155 Highway 43,Russellville,AL,100,N,N,10158,Franklin County,2020,N,1,26540914,26432970,4867741,1420372,3444386,684,11569611,1686520,18.3405175,5.3516318,12.9776465,0.0025771,43.5916072,6.3544156,1630.827355011,N,37362,40448,17.2,15.4,4.4,N,N
32,631143638,Atmore Community Hospital,401 Medical Park Drive,Atmore,AL,49,N,N,10169,Escambia County,2021,N,1,23638288,26005470,1441446,97362,0,0,8278051,-367540,6.0979289,0.4118826,0.0,0.0,35.0196723,-1.5548503,0.072437436,N,37137,41212,20.4,14.2,4.1,N,N
33,630931008,St Vincents Chilton,2030 Lay Dam Road,Clanton,AL,30,Y,N,10173,Chilton County,2021,Y,2,162846155,173724265,5316859,515149,3878522,715009,977897,7877697,3.2649582,0.3163409,2.3817092,0.4390702,0.6005035,4.8375087,4.759237555,Y,38778,52693,13.9,13.7,2.9,N,N
34,640655993,Choctaw General Hospital,401 Vanity Fair Lane,Butler,AL,25,N,N,11304,Choctaw County,2021,N,1,19455330,22387439,1367749,1102514,0,13638,821360,57046,7.030202,5.6668995,0.0,0.070099,4.2217736,0.2932152,4.175280473,N,42231,41649,20.4,12.2,4.4,N,N
35,630909073,St Vincents Blount,150 Gilbreath Drive,Oneonta,AL,25,Y,N,11305,Blount County,2021,N,1,31495057,31791484,2217842,198804,1956650,49490,705995,-14377,7.0418732,0.6312228,6.2125621,0.1571357,2.2416057,-0.0456484,34.549176123,Y,38808,55203,13.1,14.3,2.4,N,N
36,475348597,Tanner Medical Center Alabama  Inc,1032 Main Street South,Wedowee,AL,15,N,N,11306,Randolph County,2021,N,1,20607956,17605569,594202,463748,130454,0,1721383,-53984,2.8833621,2.2503347,0.6330273,0.0,8.3530021,-0.261957,2.535991823,N,35208,46679,17.5,12.3,2.7,N,N
37,630307306,The Childrens Hospital Of Alabama,1600 7th Avenue South,Birmingham,AL,332,Y,Y,13300,Jefferson County,2021,N,1,748464111,804255338,41378205,5848800,17939532,4737701,8169735,-105762,5.5284153,0.7814402,2.3968459,0.6329897,1.0915332,-0.0141305,1.352387933,N,58424,57802,14.4,10.7,3.6,N,N
38,510216586,Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,401,Y,N,20001,Anchorage Municipality,2021,Y,13,9377321238,9472918071,397963137,56271661,259923919,6631323,0,-350373826,4.2438893,0.6000824,2.7718354,0.0707166,0.0,-3.7363956,3.873271951,Y,70477,84577,8.3,11.1,5.8,Y,N
39,920019395,Mat-Su Regional Med Ctr,2500 S Woodworth Loop,Palmer,AK,74,Y,N,20006,Matanuska-Susitna Borough,2021,N,1,22399587,60449303,6378134,1085833,5292301,0,1143809,3269978,28.4743374,4.8475581,23.6267793,0.0,5.1063843,14.5983852,2.535991823,Y,50386,89502,8.7,12.8,6.8,Y,N
40,813021580,Fairbanks Memorial,1650 Cowles St,Fairbanks,AK,162,Y,Y,20012,Fairbanks North Star Borough,2021,N,1,339448170,341926808,34362526,472848,23530266,159832,2539622,10983728,10.1230553,0.139299,6.9319171,0.0470858,0.7481619,3.2357599,2.317034403,N,62254,76650,7.2,11.3,5.0,Y,N
41,920077523,Central Peninsula General Hospital,250 Hospital Place,Soldotna,AK,49,N,N,20024,Kenai Peninsula Borough,2021,N,1,520519915,542948022,16792272,2727592,1934860,813609,6853461,-7524440,3.2260575,0.5240129,0.3717168,0.1563069,1.3166568,-1.4455623,0.384379323,N,56139,68448,10.6,13.8,7.3,Y,N
42,510216586,Providence Valdez Medical Center,911 Meals Avenue,Valdez,AK,15,N,N,21301,Valdez-Cordova Census Area,2018,Y,13,7130441417,5089242373,379946305,66895699,262944702,9752164,41210319,-405628321,5.3285102,0.9381705,3.6876356,0.136768,0.577949,-5.6886845,6.627514175,N,62307,68528,9.7,13.0,7.4,Y,N
43,510216586,Providence Seward Medical & Care Cen,417 1st Avenue,Seward,AK,6,N,N,21302,Kenai Peninsula Borough,2018,Y,13,7130441417,5089242373,379946305,66895699,262944702,9752164,41210319,-405628321,5.3285102,0.9381705,3.6876356,0.136768,0.577949,-5.6886845,6.627514175,N,52015,65439,12.4,15.5,7.7,Y,N
44,926001607,Petersburg Medical Center,103 Fram Street,Petersburg,AK,12,N,N,21304,,2021,N,1,23522885,20211109,0,0,0,0,367245,-1805188,0.0,0.0,0.0,0.0,1.5612243,-7.6741777,2.535991823,N,0,0,0.0,0.0,0.0,Y,N
45,510216586,Prov Kodiak Island Medical Center,1915 E Rezanof Drive,Kodiak,AK,25,N,N,21306,Kodiak Island Borough,2021,Y,13,9377321238,9472918071,397963137,56271661,259923919,6631323,0,-350373826,4.2438893,0.6000824,2.7718354,0.0707166,0.0,-3.7363956,3.873271951,N,66988,72028,7.5,18.2,6.4,Y,N
46,920041461,Maniilaq Health Center,436 5th Avenue,Kotzebue,AK,17,N,N,21310,Northwest Arctic Borough,2015,Y,12,109090237,106987887,0,0,0,0,0,-39396706,0.0,0.0,0.0,0.0,0.0,-36.1138696,2.535991823,N,43622,53774,26.3,25.5,15.5,Y,N
47,910939479,Ketchikan Medical Center,3100 Tongass Avenue,Ketchikan,AK,25,N,N,21311,Ketchikan Gateway Borough,2021,Y,10,3468367093,3291475261,323172375,47905880,261990716,3799550,76207452,-81501454,9.3177096,1.3812228,7.5537193,0.1095486,2.1972141,-2.3498508,23.343006538,Y,70574,76780,8.3,13.5,7.4,Y,N
48,920037099,South Peninsula Hospital,4300 Bartlett St,Homer,AK,22,N,N,21313,Kenai Peninsula Borough,2021,N,1,106142419,111103111,19671875,130571,3549002,1611018,3568228,-1129398,18.5334715,0.1230149,3.3436226,1.517789,3.361736,-1.0640401,0.230084011,N,56139,68448,10.6,13.8,7.3,Y,N
49,450233470,Banner University Medical Center Phx,1111 East Mcdowell Road,Phoenix,AZ,766,Y,Y,30002,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
50,860137567,Tucson Medical Center,5301 E Grant Road,Tucson,AZ,596,Y,Y,30006,Pima County,2021,N,1,678998534,712683954,4825988,2612681,0,53316,14065433,-27110537,0.7107508,0.3847844,0.0,0.0078521,2.0714968,-3.9927239,1.180442207,Y,48373,56551,14.9,13.3,5.0,Y,N
51,860100882,Verde Valley Medical Center,269 South Candy Lane,Cottonwood,AZ,98,Y,N,30007,Yavapai County,2021,N,1,167084801,209945790,28798589,10444624,17397157,956808,8289944,7645141,17.2359118,6.2510916,10.412172,0.5726481,4.9615189,4.5756052,29.09860808,Y,44490,58860,10.8,14.8,4.1,Y,N
52,860455920,Carondelet St  Marys Hospital,1601 West St Marys Road,Tucson,AZ,400,Y,Y,30010,Pima County,2014,Y,2,485827781,537694109,88692003,4158369,65192430,3982250,3492609,-39310527,18.2558524,0.8559347,13.4188353,0.8196834,0.7188985,-8.091453,3.585650562,Y,38120,45871,18.7,16.0,6.2,Y,N
53,860455920,Carondelet St Josephs Hospital,350 North Wilmot Road,Tucson,AZ,471,Y,N,30011,Pima County,2014,Y,2,485827781,537694109,88692003,4158369,65192430,3982250,3492609,-39310527,18.2558524,0.8559347,13.4188353,0.8196834,0.7188985,-8.091453,3.585650562,Y,38120,45871,18.7,16.0,6.2,Y,N
54,860098923,Yavapai Regional Medical Center,1003 Willow Creek Road,Prescott,AZ,218,Y,N,30012,Yavapai County,2021,Y,2,455114896,473658964,49496373,3778650,18269238,981476,4228284,-16651449,10.8755774,0.8302628,4.0142034,0.2156545,0.9290585,-3.6587352,0.80324608,Y,44490,58860,10.8,14.8,4.1,Y,N
55,866007596,Yuma Regional Medical Center,2400 S Avenue A,Yuma,AZ,369,Y,Y,30013,Yuma County,2021,Y,5,691803471,765906206,50428273,4412338,40264457,497218,57686954,-40390662,7.2893928,0.6378022,5.8202161,0.0718727,8.3386332,-5.8384589,7.767880708,Y,40800,54278,15.2,17.7,12.9,Y,N
56,860181654,Honorhealth John C Lincoln Med Ctr,250 East Dunlap,Phoenix,AZ,262,Y,Y,30014,Maricopa County,2021,Y,8,2334689609,2554167187,362874347,131858299,198625097,6316786,7822119,-105668904,15.5427233,5.6477871,8.507559,0.2705621,0.3350389,-4.5260365,10.202954399,Y,53521,71799,11.6,13.3,4.5,Y,N
57,450233470,Banner Casa Grande Medical Center,1800 East Florence Blvd,Casa Grande,AZ,141,Y,N,30016,Pinal County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,35949,66992,11.1,12.8,4.7,Y,N
58,860110232,Flagstaff Medical Center,1200 North Beaver,Flagstaff,AZ,264,Y,N,30023,Coconino County,2021,N,1,467871106,520038158,146164621,24159390,119591359,2413872,42511075,-3568969,31.2403606,5.1636849,25.5607489,0.5159267,9.0860654,-0.7628103,59.551935231,Y,53036,57146,17.2,15.2,6.0,Y,N
59,941196203,St Josephs Hospital & Medical Ctr,350 West Thomas Road,Phoenix,AZ,586,Y,Y,30024,Maricopa County,2021,Y,25,9322661930,9491913368,1040924974,146928786,668241510,45488574,68795639,-300869671,11.1655338,1.5760389,7.167926,0.4879354,0.7379398,-3.2272935,3.630711565,Y,53521,71799,11.6,13.3,4.5,Y,N
60,450233470,Banner Payson Medical Center,807 S Ponderosa,Payson,AZ,44,N,N,30033,Gila County,2017,Y,28,5798241480,6471226738,647287402,73436286,482318961,8413293,60935816,29994390,11.1635123,1.2665268,8.3183662,0.1451007,1.0509361,0.5173014,6.071694116,N,38257,38897,24.1,13.5,6.1,Y,N
61,815009488,Chandler Regional Medical Center,475 South Dobson Road,Chandler,AZ,338,Y,N,30036,Maricopa County,2021,Y,15,3520228573,3472975957,495268789,57473693,374647542,16606873,37554542,-149165810,14.0692224,1.6326693,10.6427049,0.4717555,1.0668211,-4.2373898,6.843039953,Y,53521,71799,11.6,13.3,4.5,Y,N
62,860181654,Honorhealth Scottsdale Osborn Med Ct,7400 East Osborn Road,Scottsdale,AZ,341,Y,Y,30038,Maricopa County,2021,Y,8,2334689609,2554167187,362874347,131858299,198625097,6316786,7822119,-105668904,15.5427233,5.6477871,8.507559,0.2705621,0.3350389,-4.5260365,10.202954399,Y,53521,71799,11.6,13.3,4.5,Y,N
63,860186064,Sierra Vista Regional Health Center Inc,300 El Camino Real,Sierra Vista,AZ,88,Y,N,30043,Cochise County,2012,N,1,77152119,59092099,5078798,1834303,2007107,148760,1834302,-8253803,6.5828366,2.3775147,2.601493,0.1928138,2.3775134,-10.6980898,3.181044191,N,36625,43017,18.8,18.8,8.2,Y,N
64,942916102,Kingman Regional Medical Center,3269 Stockton Hill Road,Kingman,AZ,235,Y,Y,30055,Mohave County,2021,N,1,376147796,388128574,37133722,664197,33812461,403181,26921455,-5108545,9.8721094,0.1765787,8.9891423,0.1071868,7.1571481,-1.3581217,12.975471422,N,36529,46678,15.3,13.6,5.5,Y,N
65,450233470,Banner Boswell Medical Center,10401 Thunderbird Blvd,Sun City,AZ,434,Y,Y,30061,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
66,860320447,Summit Healthcare,2200 Show Low Lake Rd,Show Low,AZ,101,N,N,30062,Navajo County,2021,N,1,253131563,258306139,243298763,636214,69757499,0,11091906,111620206,96.1155377,0.2513372,27.5578036,0.0,4.3818739,44.0957281,0.407123522,N,36169,46698,23.3,17.4,6.5,Y,N
67,450233470,Banner University Med Center Tucson,1625 North Campbell Avenue,Tucson,AZ,625,Y,Y,30064,Pima County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,Y,48373,56551,14.9,13.3,5.0,Y,N
68,450233470,Banner Desert Medical Center,1400 South Dobson Road,Mesa,AZ,595,Y,N,30065,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
69,860260959,La Paz Regional Hospital,1200 West Mohave Road,Parker,AZ,25,N,N,30067,La Paz County,2012,N,1,22599412,21277973,9774315,2019827,7569488,120000,3519683,-18527603,43.2503066,8.9375201,33.4941811,0.5309872,15.5742237,-81.9826772,62.060096774,Y,26938,35236,24.5,26.9,9.2,Y,N
70,237094247,Mt Graham Regional Medical Center,1600 Twentieth Avenue,Safford,AZ,25,N,N,30068,Graham County,2020,N,1,68064915,68756800,8206285,476000,7730285,0,4548882,-1658351,12.0565565,0.6993323,11.3572242,0.0,6.6831523,-2.4364255,2.535991823,N,35072,55419,15.2,11.8,6.3,Y,N
71,43651340,Tuba City Reg Health Care Corp,Highway 264,Tuba City,AZ,103,Y,Y,30073,Coconino County,2021,Y,5,212474814,239163070,0,0,0,0,0,15872434,0.0,0.0,0.0,0.0,0.0,7.470266,2.535991823,N,53036,57146,17.2,15.2,6.0,Y,N
72,860181654,Honorhealth Scottsdale Shea Med Ctr,9300 E Shea Blvd,Scottsdale,AZ,425,Y,Y,30087,Maricopa County,2021,Y,8,2334689609,2554167187,362874347,131858299,198625097,6316786,7822119,-105668904,15.5427233,5.6477871,8.507559,0.2705621,0.3350389,-4.5260365,10.202954399,Y,53521,71799,11.6,13.3,4.5,Y,N
73,450233470,Banner Baywood Medical Center,6644 Baywood Avenue,Mesa,AZ,359,Y,N,30088,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
74,450233470,Banner Thunderbird Medical Center,5555 West Thunderbird Road,Glendale,AZ,561,Y,N,30089,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
75,860181654,Honorhealth Deer Valley Med Ctr,19829 N 27th Avenue,Phoenix,AZ,204,Y,N,30092,Maricopa County,2021,Y,8,2334689609,2554167187,362874347,131858299,198625097,6316786,7822119,-105668904,15.5427233,5.6477871,8.507559,0.2705621,0.3350389,-4.5260365,10.202954399,Y,53521,71799,11.6,13.3,4.5,Y,N
76,450233470,Banner Del E Webb Medical Center,14502 West Meeker Boulevard,Sun City West,AZ,394,Y,N,30093,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
77,561943271,Carondelet Heart And Vascular Instit,4888 North Stone Drive,Tucson,AZ,60,Y,N,30100,Pima County,2012,N,1,16388672,2959964,2419057,696023,1708054,14980,2164209,-4002535,14.7605431,4.2469762,10.4221623,0.0914045,13.2055178,-24.4225706,160.485781041,Y,36372,44745,19.9,18.8,7.3,Y,N
78,383952644,Mayo Clinic Hospital,5777 East Mayo Blvd,Phoenix,AZ,280,Y,Y,30103,Maricopa County,2021,Y,19,12310001707,12644661653,764483969,36000094,325790467,3171114,141275134,-295542307,6.2102669,0.2924458,2.6465509,0.0257604,1.1476451,-2.4008307,0.898426827,Y,53521,71799,11.6,13.3,4.5,Y,N
79,450233470,Banner Heart Hospital,6750 East Baywood Avenue,Mesa,AZ,111,Y,N,30105,Maricopa County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,N,53521,71799,11.6,13.3,4.5,Y,N
80,450233470,Banner University Med Center South,2800 East Ajo Way,Tucson,AZ,245,Y,Y,30111,Pima County,2021,Y,31,8082987870,8751255377,790019168,140879311,485628894,10009218,46162153,-230501009,9.7738507,1.7429113,6.0080369,0.1238306,0.5711025,-2.8516807,3.831597548,Y,48373,56551,14.9,13.3,5.0,Y,N
